Age,Gender,Education Level,Job Title,Years of Experience,Salary
25,Male,Master's,Software Test Engineer,3.8,72800
23,Male,Master's,System Administrator,3.9,73300
34,Female,Master's,Data Scientist,11.5,158300
45,Female,Master's,Director of Software Development,23.6,240900
23,Male,Bachelor's,IT Support Technician,1.2,38700
27,Female,Master's,IT Project Manager,6.2,94100
30,Male,Bachelor's,Principal Cloud Architect,10.2,130500
40,Female,Master's,Lead Data Engineer,17.8,199100
36,Male,Master's,Principal Cloud Architect,16.4,189100
23,Male,Bachelor's,IT Support Technician,0.2,26700
34,Female,Master's,IT Program Manager,11.7,145000
24,Male,Master's,Full Stack Developer,3.5,74200
24,Male,Bachelor's,UI/UX Designer,4.7,76600
34,Male,Master's,Infrastructure Manager,12.9,155300
32,Female,Master's,Site Reliability Engineer,10.1,138900
23,Male,Master's,Junior Cloud Support Engineer,0.4,30200
26,Male,Master's,Senior Cloud Engineer,6.9,113700
26,Female,Master's,Technical Support Engineer,4.3,77600
25,Male,Master's,System Administrator,2.3,59200
26,Female,Bachelor's,IT Consultant,3.6,63400
36,Female,Bachelor's,Lead Software Engineer,17.1,181900
29,Female,Master's,Senior Web Developer,8.1,110800
27,Male,Bachelor's,Senior Network Engineer,6.3,86200
23,Female,Bachelor's,UI/UX Designer,4.3,68500
21,Male,Master's,Junior UI/UX Designer,0.6,32800
24,Female,Bachelor's,Data Analyst,5.0,86100
24,Male,Bachelor's,Database Administrator,3.8,69600
31,Male,Master's,Senior Database Administrator,9.5,129800
24,Male,Bachelor's,Cybersecurity Analyst,5.1,81900
27,Female,Bachelor's,Senior Cybersecurity Analyst,6.9,104200
27,Male,Bachelor's,Software Engineer,5.1,77500
28,Female,PhD,Senior UI/UX Designer,8.0,143200
34,Male,Bachelor's,Network Manager,14.0,157200
23,Male,Bachelor's,Software Test Engineer,4.2,67800
50,Female,Master's,VP of Engineering,29.8,295700
24,Female,Master's,Backend Developer,3.9,76000
25,Female,PhD,Software Test Engineer,2.3,58200
39,Male,Master's,Engineering Manager,17.5,186800
24,Female,Bachelor's,IT Consultant,3.4,72600
30,Male,Master's,Senior IT Consultant,10.5,153900
22,Female,Bachelor's,Junior Software Developer,0.6,31300
34,Female,Master's,Database Manager,13.0,155000
30,Female,Master's,Senior Full Stack Developer,9.7,150900
20,Female,Bachelor's,Junior DevOps Engineer,0.1,25400
29,Female,Master's,Senior UI/UX Designer,8.6,128800
26,Female,PhD,Senior Data Engineer,6.2,111800
34,Female,Bachelor's,Senior Automation Engineer,11.7,150000
21,Male,Master's,Junior Software Developer,1.8,48500
32,Female,Bachelor's,Senior Cybersecurity Analyst,10.0,134600
27,Male,Master's,Senior IT Consultant,7.4,111700
24,Female,Bachelor's,QA Engineer,3.2,64000
25,Female,Bachelor's,UI/UX Designer,5.9,93000
25,Female,Master's,Database Administrator,5.7,93900
25,Male,PhD,Full Stack Developer,5.8,100500
48,Female,Master's,Director of Data Science,29.2,274700
26,Female,Master's,Web Developer,5.3,85800
24,Male,Master's,Software Engineer,2.7,52000
31,Male,PhD,Senior DevOps Engineer,11.2,166300
27,Male,Master's,Information Security Analyst,6.3,93600
27,Male,Bachelor's,Network Engineer,4.7,77500
22,Female,Master's,Junior QA Tester,0.4,33500
24,Female,Bachelor's,Cloud Support Engineer,3.0,58500
22,Male,PhD,Junior Network Technician,1.8,51400
25,Male,Master's,Frontend Developer,2.3,57800
25,Male,Bachelor's,System Administrator,5.4,87300
31,Female,Master's,Senior Full Stack Developer,8.5,121900
37,Male,Master's,Director of Data Science,17.0,183300
28,Male,Bachelor's,Full Stack Developer,5.5,84300
28,Female,Master's,Senior Cybersecurity Analyst,8.5,130600
38,Male,Master's,Engineering Manager,17.7,204100
25,Male,Bachelor's,Software Test Engineer,3.8,66900
49,Male,Master's,Director of Cybersecurity,28.1,280900
22,Female,Master's,Help Desk Technician,1.3,40400
25,Female,Master's,Cybersecurity Analyst,2.1,56500
28,Female,Master's,Senior DevOps Engineer,6.8,112200
31,Female,Bachelor's,Senior DevOps Engineer,9.5,138200
26,Male,Bachelor's,Cybersecurity Analyst,4.4,69000
25,Female,Bachelor's,Full Stack Developer,5.7,89100
25,Female,PhD,IT Consultant,6.0,98700
44,Male,Master's,Chief Technology Officer,24.0,251900
20,Male,Master's,Junior Database Administrator,0.5,33600
19,Female,Master's,Junior DevOps Engineer,0.1,30000
22,Male,Master's,Junior Software Developer,1.0,39300
21,Female,Master's,Technical Support Engineer,2.6,57400
23,Female,Bachelor's,Help Desk Technician,1.1,39300
30,Male,Bachelor's,IT Project Manager,8.2,108000
34,Female,Bachelor's,Senior UI/UX Designer,11.4,149700
23,Female,Bachelor's,Software Engineer,2.6,55000
21,Female,Master's,Software Engineer,2.4,52600
29,Male,Master's,Senior Full Stack Developer,9.3,139400
29,Male,Bachelor's,Senior Frontend Developer,6.7,100500
34,Female,Master's,Senior System Administrator,11.3,153900
29,Female,Bachelor's,Senior Database Administrator,6.2,90600
32,Female,Master's,Senior DevOps Engineer,10.7,159300
24,Male,Bachelor's,Junior System Administrator,0.8,34600
24,Female,Master's,Network Engineer,4.0,68600
33,Male,Master's,Lead DevOps Engineer,11.9,161800
26,Male,Bachelor's,Software Test Engineer,5.2,85100
27,Female,Master's,Senior Automation Engineer,6.9,111300
36,Female,Bachelor's,Infrastructure Manager,14.3,153600
19,Female,Bachelor's,Junior Business Intelligence Analyst,0.4,32100
27,Female,Bachelor's,Senior System Administrator,8.0,106500
26,Female,Bachelor's,Senior Data Analyst,6.3,88300
21,Female,Bachelor's,Junior Data Analyst,1.7,42600
25,Male,Master's,Data Analyst,2.4,53000
26,Male,Bachelor's,Business Intelligence Analyst,3.9,75200
20,Male,Master's,Junior Cloud Support Engineer,0.6,34700
23,Female,Master's,Software Engineer,3.7,71800
22,Female,PhD,Junior System Administrator,1.6,48600
32,Female,Master's,Principal Engineer,13.6,168800
27,Male,Bachelor's,Full Stack Developer,4.6,73300
23,Female,Master's,Junior System Administrator,1.0,37100
30,Female,Master's,Senior QA Engineer,10.2,145400
27,Female,PhD,Data Engineer,7.2,119300
21,Male,Bachelor's,Junior Mobile App Developer,0.5,32000
24,Male,Bachelor's,Data Analyst,2.3,47900
31,Female,Master's,Senior Backend Developer,8.4,114400
47,Male,Master's,VP of Engineering,24.8,246500
33,Male,Master's,QA Manager,10.1,135200
22,Male,Bachelor's,Junior Network Technician,0.0,26300
21,Male,Master's,Junior Business Intelligence Analyst,1.2,40500
24,Female,PhD,Backend Developer,2.4,54500
26,Male,Bachelor's,IT Consultant,4.9,80200
24,Male,Bachelor's,Automation Engineer,4.9,78500
46,Female,Master's,VP of Data & Analytics,26.3,255800
21,Male,Master's,Database Administrator,2.0,51400
27,Female,Master's,Frontend Developer,5.5,90400
31,Male,PhD,Machine Learning Engineer,9.3,141400
35,Female,Master's,Infrastructure Manager,12.9,156000
22,Male,Bachelor's,Backend Developer,2.9,59900
26,Female,Bachelor's,Software Engineer,3.0,55000
23,Male,Master's,System Administrator,3.3,66300
24,Female,PhD,Mobile App Developer,2.6,64800
26,Female,Bachelor's,Cloud Solutions Architect,7.1,97300
32,Female,Master's,Senior IT Consultant,10.0,150100
30,Female,Bachelor's,Senior Software Engineer,7.5,99600
20,Male,Master's,Help Desk Technician,0.1,29200
24,Female,PhD,Automation Engineer,2.2,54100
21,Female,Bachelor's,IT Support Technician,1.3,38800
30,Female,Master's,Platform Engineer,7.4,115800
38,Male,Master's,Technical Program Manager,15.6,187500
21,Male,Master's,Web Developer,2.1,52900
22,Male,Bachelor's,UI/UX Designer,3.3,59300
35,Female,PhD,VP of Information Technology,16.7,192000
40,Male,Bachelor's,Chief Information Security Officer,19.1,187400
21,Female,Master's,Junior Software Developer,0.4,32600
24,Female,Bachelor's,Junior Data Analyst,1.7,42900
24,Female,Bachelor's,IT Consultant,2.4,42400
25,Male,Bachelor's,Data Analyst,5.2,78900
33,Female,Master's,Lead Data Scientist,10.7,137400
46,Male,Master's,VP of Information Technology,26.7,252400
21,Female,Bachelor's,Junior Network Technician,1.6,42100
25,Female,Master's,Data Analyst,4.2,77000
26,Female,Bachelor's,QA Engineer,5.4,78100
30,Female,Master's,Senior Network Engineer,6.6,86400
44,Male,PhD,Chief Information Officer,23.8,257900
19,Male,Bachelor's,Junior Web Developer,0.3,31500
39,Female,Master's,Network Manager,16.9,194600
27,Male,Bachelor's,IT Business Analyst,4.8,83700
31,Male,Master's,Data Scientist,9.2,122400
21,Male,Bachelor's,Database Administrator,2.1,48800
29,Male,Master's,Senior Data Engineer,8.0,114300
37,Female,PhD,Engineering Manager,16.9,202200
32,Male,Master's,Senior Frontend Developer,9.3,135500
27,Male,Master's,Senior Web Developer,8.1,125200
24,Male,Master's,Network Engineer,4.4,84800
30,Male,Master's,Senior Data Engineer,8.8,129800
40,Male,Master's,Head of Cloud Infrastructure,21.6,211200
21,Female,Bachelor's,Backend Developer,2.0,50300
22,Male,Master's,Junior QA Tester,1.4,40000
29,Female,Master's,Cloud Solutions Architect,8.0,113800
24,Female,Master's,Software Engineer,5.2,89400
30,Female,Bachelor's,Senior QA Engineer,8.9,123200
27,Female,Bachelor's,Senior Mobile App Developer,6.9,95300
24,Male,Master's,DevOps Engineer,2.8,62200
23,Female,Bachelor's,IT Support Technician,0.9,35500
26,Female,PhD,IT Project Manager,7.2,122300
26,Male,Bachelor's,Senior Data Analyst,6.3,89100
23,Female,Bachelor's,Network Engineer,2.6,54500
36,Male,Master's,Engineering Manager,15.1,175000
27,Male,Master's,UI/UX Designer,5.4,96800
40,Female,Master's,Lead DevOps Engineer,17.8,188200
23,Male,Bachelor's,Cloud Support Engineer,2.2,52800
26,Male,Bachelor's,Senior IT Consultant,6.8,107700
24,Male,Bachelor's,Full Stack Developer,3.9,72000
23,Male,Bachelor's,DevOps Engineer,3.1,67200
23,Male,Bachelor's,Cloud Support Engineer,3.5,61800
40,Female,PhD,Lead Cybersecurity Engineer,17.3,207500
26,Female,Bachelor's,UI/UX Designer,4.4,71500
26,Male,Master's,IT Project Manager,7.2,104800
30,Female,Bachelor's,Senior Software Engineer,6.8,94100
31,Male,Bachelor's,Information Security Analyst,10.5,129700
24,Female,Bachelor's,Cloud Support Engineer,3.0,54400
28,Male,Bachelor's,Platform Engineer,7.5,102000
24,Female,Bachelor's,Backend Developer,2.0,41100
23,Male,Bachelor's,Junior QA Tester,1.6,41900
22,Male,Bachelor's,Full Stack Developer,3.1,57800
26,Male,Master's,Full Stack Developer,3.8,70700
24,Female,Master's,UI/UX Designer,4.4,77900
22,Male,Master's,Junior Data Analyst,1.3,44100
21,Female,Master's,Backend Developer,2.8,66900
26,Female,Bachelor's,Technical Support Engineer,4.2,68100
19,Male,Bachelor's,Junior Cloud Support Engineer,0.2,26400
33,Female,Bachelor's,Senior Mobile App Developer,10.2,138900
35,Male,Bachelor's,Lead Cybersecurity Engineer,16.1,174500
20,Female,Bachelor's,Junior Cloud Support Engineer,1.0,33600
29,Male,PhD,Senior Network Engineer,7.4,115300
27,Male,Master's,Machine Learning Engineer,7.7,115600
22,Male,Bachelor's,Trainee Software Engineer,1.7,42000
40,Male,Master's,Director of Software Development,21.0,228500
22,Male,Bachelor's,Junior Database Administrator,0.5,30400
23,Male,Bachelor's,Junior Network Technician,1.5,39300
21,Female,PhD,Trainee Software Engineer,0.4,33900
21,Male,Master's,Trainee Software Engineer,0.4,32100
31,Female,Master's,Senior QA Engineer,7.9,118100
21,Female,Bachelor's,Mobile App Developer,2.7,57600
27,Female,Master's,Senior UI/UX Designer,6.5,110800
19,Female,Master's,Junior Software Developer,0.1,24800
24,Female,Bachelor's,IT Business Analyst,2.1,47800
22,Female,Master's,Junior Mobile App Developer,0.8,36400
21,Female,Bachelor's,Trainee Software Engineer,0.7,32700
32,Female,Bachelor's,Lead Software Engineer,10.7,136100
29,Male,Bachelor's,Senior Mobile App Developer,10.0,140700
23,Male,Master's,IT Support Technician,1.9,49500
35,Female,Master's,Technical Program Manager,15.9,184200
34,Female,Master's,Data Engineer,11.7,163100
25,Male,Bachelor's,Site Reliability Engineer,6.8,97900
25,Male,Master's,Software Engineer,2.6,59500
32,Female,PhD,Senior DevOps Engineer,9.1,141000
39,Male,Master's,Lead DevOps Engineer,16.3,182000
24,Male,Master's,Cloud Support Engineer,2.2,50200
20,Female,Bachelor's,Junior UI/UX Designer,1.7,42400
23,Male,Bachelor's,DevOps Engineer,2.6,53300
21,Female,Bachelor's,Junior QA Tester,1.1,36200
37,Female,Bachelor's,VP of Information Technology,16.9,191400
25,Male,Master's,System Administrator,2.1,52100
31,Male,Master's,Senior QA Engineer,10.6,159600
30,Male,PhD,Senior Network Engineer,9.4,150500
29,Male,Master's,Senior Cybersecurity Analyst,8.5,124400
23,Female,Bachelor's,UI/UX Designer,2.6,59300
28,Female,Master's,Senior Cybersecurity Analyst,6.5,104100
19,Male,Master's,Junior Software Developer,0.3,32500
27,Male,Master's,Site Reliability Engineer,6.2,101800
32,Female,Master's,Senior DevOps Engineer,9.1,131600
34,Male,Master's,Senior Software Engineer,11.2,158900
20,Female,Bachelor's,Junior UI/UX Designer,1.2,35500
28,Female,PhD,Backend Developer,5.8,99400
32,Female,Master's,Senior Mobile App Developer,8.9,133300
37,Female,PhD,Infrastructure Manager,17.5,206400
26,Female,Bachelor's,IT Business Analyst,3.3,64400
26,Female,Bachelor's,Full Stack Developer,4.7,74900
27,Female,Master's,Senior QA Engineer,6.0,96000
28,Male,Bachelor's,Senior Cybersecurity Analyst,8.6,119500
22,Male,Master's,Junior QA Tester,1.7,47600
21,Male,Bachelor's,Junior DevOps Engineer,1.1,37200
20,Male,Bachelor's,IT Support Technician,1.2,39700
21,Female,Master's,Trainee Software Engineer,0.7,34500
30,Male,Bachelor's,Senior UI/UX Designer,7.7,109700
30,Female,Master's,Information Security Analyst,7.6,110200
23,Male,Master's,IT Business Analyst,3.7,78000
43,Male,PhD,VP of Information Technology,20.6,237100
20,Female,Master's,Junior QA Tester,1.2,42300
22,Female,Bachelor's,UI/UX Designer,2.8,60100
21,Female,PhD,Junior Cybersecurity Analyst,1.5,45200
33,Male,Bachelor's,Cloud Solutions Architect,12.0,156900
20,Male,Bachelor's,Help Desk Technician,0.3,28500
34,Female,Master's,Database Manager,14.9,182000
31,Male,Bachelor's,Information Security Analyst,8.6,125100
38,Female,Bachelor's,Lead Cybersecurity Engineer,15.9,173000
23,Female,Bachelor's,Junior UI/UX Designer,1.1,36300
20,Female,PhD,IT Support Technician,1.4,46300
28,Female,PhD,IT Project Manager,8.7,138100
23,Male,Master's,Junior Network Technician,1.8,45900
26,Male,Bachelor's,Senior Cloud Engineer,6.9,96000
26,Male,Bachelor's,IT Consultant,4.6,77600
37,Female,Bachelor's,Lead Software Engineer,15.8,168600
47,Male,Master's,Director of Software Development,26.1,244800
31,Male,Bachelor's,Senior Mobile App Developer,11.4,140700
45,Female,PhD,Director of Cybersecurity,25.0,265000
44,Male,PhD,Director of Software Development,21.1,261700
25,Female,Master's,IT Consultant,2.8,57100
23,Male,Bachelor's,Junior Network Technician,0.6,31400
21,Male,Master's,Junior Data Analyst,1.5,45800
23,Male,Master's,Technical Support Engineer,3.5,72400
30,Female,Bachelor's,Senior Network Engineer,10.0,128200
30,Female,Master's,Machine Learning Engineer,9.4,131200
30,Male,Master's,Information Security Analyst,8.2,123900
30,Female,Master's,Network Manager,11.5,155900
50,Female,Bachelor's,Chief Information Officer,27.4,247200
24,Female,Bachelor's,Cloud Support Engineer,4.2,72000
30,Female,PhD,Cloud Solutions Architect,10.7,154300
28,Male,Bachelor's,IT Consultant,5.9,91200
23,Male,Bachelor's,Trainee Software Engineer,0.7,34600
31,Male,Master's,Cloud Solutions Architect,10.6,145600
21,Male,Master's,Junior Cybersecurity Analyst,1.6,42500
23,Male,Bachelor's,Junior Data Analyst,0.8,31100
31,Female,Master's,Senior Software Engineer,10.3,144700
31,Male,Bachelor's,Senior IT Consultant,11.1,141800
30,Male,Bachelor's,Senior Mobile App Developer,10.0,129700
23,Male,Master's,Database Administrator,2.3,56600
29,Female,Master's,Data Engineer,8.3,114600
35,Male,Bachelor's,Solutions Architect,15.2,167200
34,Female,PhD,Principal Cloud Architect,14.2,188400
20,Female,Master's,Junior Cloud Support Engineer,0.2,30600
25,Male,Bachelor's,UI/UX Designer,3.8,65500
22,Male,Bachelor's,Junior Mobile App Developer,1.8,43100
26,Female,Master's,UI/UX Designer,4.9,87000
23,Female,Master's,QA Engineer,3.3,76300
21,Female,Master's,Trainee Software Engineer,1.6,47400
26,Female,Master's,DevOps Engineer,3.6,62400
20,Male,Master's,Junior Web Developer,0.5,34600
28,Male,Master's,Backend Developer,5.6,98300
23,Female,Master's,System Administrator,3.3,75600
28,Male,Bachelor's,Senior Backend Developer,8.3,107900
24,Female,Bachelor's,Full Stack Developer,2.5,54400
32,Male,Master's,Lead Cybersecurity Engineer,12.2,164000
28,Male,Bachelor's,Senior Data Engineer,6.5,99300
30,Male,Bachelor's,Senior Cybersecurity Analyst,11.2,145700
23,Female,Master's,Junior Cloud Support Engineer,1.1,40000
20,Female,Master's,Junior Business Intelligence Analyst,1.6,45200
25,Male,Bachelor's,Automation Engineer,4.3,77400
24,Female,Bachelor's,Network Engineer,4.6,77300
25,Female,Bachelor's,Database Administrator,4.7,74200
26,Male,Master's,Technical Support Engineer,5.4,93100
33,Female,Bachelor's,Senior IT Consultant,10.4,130200
25,Female,Bachelor's,Automation Engineer,4.8,80800
27,Male,Bachelor's,IT Business Analyst,4.4,73400
25,Male,Master's,Software Engineer,4.5,76100
21,Female,Bachelor's,Junior Cloud Support Engineer,0.8,32300
23,Male,Master's,Junior UI/UX Designer,1.6,46300
27,Female,Master's,Senior Cloud Engineer,6.3,94700
26,Male,Bachelor's,Senior Full Stack Developer,6.9,98200
33,Female,Bachelor's,Platform Engineer,10.9,141100
22,Female,Bachelor's,Junior Web Developer,0.7,31000
23,Female,Bachelor's,Cloud Support Engineer,3.3,59600
25,Female,Bachelor's,Senior Database Administrator,6.2,89200
23,Male,Bachelor's,Junior Data Analyst,0.8,33400
32,Female,Master's,Senior Software Engineer,9.7,147600
23,Male,Master's,Frontend Developer,2.2,54600
23,Male,Master's,Junior Database Administrator,0.3,30600
22,Female,PhD,Network Engineer,3.0,71500
39,Male,Bachelor's,Director of Engineering,18.2,194900
24,Male,PhD,DevOps Engineer,2.7,63300
33,Male,PhD,Infrastructure Manager,12.2,170100
20,Female,Bachelor's,Junior Mobile App Developer,0.7,34100
40,Male,Master's,Lead Software Engineer,17.4,198700
27,Male,Bachelor's,Full Stack Developer,5.1,85400
22,Male,Master's,Cloud Support Engineer,2.5,58100
24,Female,Bachelor's,Trainee Software Engineer,2.0,47600
21,Female,Master's,Mobile App Developer,2.7,63500
24,Female,Master's,Junior Mobile App Developer,1.4,43500
30,Female,Bachelor's,Platform Engineer,11.5,146700
23,Male,PhD,Junior Business Intelligence Analyst,1.3,46500
32,Female,Master's,Machine Learning Engineer,10.5,155500
27,Male,Master's,Platform Engineer,6.7,98800
24,Male,Bachelor's,IT Business Analyst,5.1,83800
22,Female,Bachelor's,Junior UI/UX Designer,1.8,45100
20,Female,Master's,Junior Network Technician,0.8,35200
28,Male,Bachelor's,Site Reliability Engineer,6.6,97400
33,Female,Master's,Principal Cloud Architect,10.8,140200
24,Male,Master's,Junior Business Intelligence Analyst,1.9,46200
24,Male,PhD,UI/UX Designer,4.6,86300
24,Male,Bachelor's,Automation Engineer,2.9,60500
24,Female,Master's,UI/UX Designer,5.1,88600
38,Male,Bachelor's,Principal Engineer,15.1,158300
37,Male,PhD,Principal Cloud Architect,16.3,201400
23,Female,PhD,Help Desk Technician,1.6,49800
33,Female,Bachelor's,QA Manager,12.9,144800
34,Female,Master's,Senior Full Stack Developer,11.0,162800
25,Male,PhD,System Administrator,5.6,103800
20,Female,PhD,Junior Database Administrator,1.7,45500
33,Male,Master's,Lead Software Engineer,14.0,170700
20,Female,Master's,Junior Web Developer,1.0,38000
31,Female,Master's,Lead Data Engineer,12.7,157200
37,Female,Master's,Technical Program Manager,15.9,189900
30,Female,Bachelor's,Platform Engineer,7.2,94300
25,Female,PhD,Backend Developer,2.7,65600
27,Male,Bachelor's,Business Intelligence Analyst,4.9,79600
38,Female,PhD,Engineering Manager,14.9,184700
28,Male,Bachelor's,Platform Engineer,6.9,95300
26,Male,Bachelor's,Senior UI/UX Designer,7.5,108500
27,Male,PhD,Data Scientist,6.9,109500
21,Female,Master's,Junior Cybersecurity Analyst,1.9,47000
24,Female,Master's,Mobile App Developer,3.7,71300
43,Female,Master's,Chief Technology Officer,20.5,220000
20,Male,Master's,IT Support Technician,1.5,45800
29,Male,Bachelor's,Data Engineer,8.8,121900
22,Female,Bachelor's,Junior Network Technician,1.8,44600
49,Male,Master's,Head of Cloud Infrastructure,28.2,274400
26,Female,PhD,Senior System Administrator,6.8,107900
38,Male,Master's,Lead Data Engineer,15.7,179700
33,Female,Master's,Principal Engineer,10.3,145500
21,Male,Bachelor's,Junior UI/UX Designer,1.3,37500
32,Female,Bachelor's,Senior Frontend Developer,10.9,155900
27,Female,Bachelor's,Web Developer,5.3,87700
22,Female,Bachelor's,Full Stack Developer,3.3,63400
25,Female,PhD,IT Consultant,3.9,84600
24,Male,Master's,Full Stack Developer,4.1,70000
20,Male,Master's,Junior System Administrator,0.6,35200
27,Male,Bachelor's,Senior Software Engineer,7.2,108600
26,Male,Master's,Backend Developer,5.1,94700
22,Male,Bachelor's,Junior Mobile App Developer,0.8,36200
24,Male,Master's,Software Engineer,3.8,70400
29,Female,Bachelor's,Senior Network Engineer,7.6,110800
38,Female,Master's,Lead DevOps Engineer,17.6,202100
24,Male,Master's,Web Developer,3.6,66400
37,Female,Bachelor's,Lead Cybersecurity Engineer,17.0,175100
35,Male,Master's,Database Manager,12.3,148400
25,Female,Bachelor's,Data Analyst,4.2,74300
38,Male,Master's,Lead DevOps Engineer,16.4,194700
26,Female,Bachelor's,System Administrator,2.8,52100
38,Male,PhD,Infrastructure Manager,17.8,217200
34,Female,Master's,Lead Data Engineer,12.8,160300
41,Female,Master's,VP of Data & Analytics,18.4,199500
23,Female,Bachelor's,Junior DevOps Engineer,0.4,30200
36,Male,Master's,Network Manager,14.9,180800
33,Male,Bachelor's,Lead Data Engineer,11.1,140100
23,Male,Bachelor's,System Administrator,3.1,56200
31,Male,Master's,Data Engineer,11.2,161900
23,Male,Bachelor's,System Administrator,2.7,54500
20,Male,Bachelor's,Junior Cloud Support Engineer,1.5,41400
23,Female,Bachelor's,Web Developer,3.0,55900
24,Female,Master's,Junior UI/UX Designer,1.0,39500
25,Female,Master's,Junior Software Developer,1.7,43200
32,Male,Master's,Senior IT Consultant,11.0,152800
24,Male,Bachelor's,Mobile App Developer,2.9,56900
35,Male,Bachelor's,Network Manager,13.2,157500
37,Female,Master's,Network Manager,16.5,182400
23,Female,Master's,Help Desk Technician,1.5,45200
36,Male,Master's,Lead DevOps Engineer,15.9,183300
22,Male,Bachelor's,Junior Mobile App Developer,0.9,35700
25,Female,Bachelor's,IT Business Analyst,2.3,51700
23,Male,Bachelor's,Web Developer,4.0,68800
35,Female,Bachelor's,Principal Cloud Architect,12.9,148900
29,Male,Master's,Platform Engineer,7.6,119700
31,Female,Bachelor's,Senior Database Administrator,8.5,112100
24,Female,PhD,Network Engineer,3.1,69100
24,Female,Bachelor's,Automation Engineer,4.1,70100
20,Female,Bachelor's,Junior DevOps Engineer,0.3,28800
19,Female,Bachelor's,Junior Cybersecurity Analyst,0.2,28800
31,Male,Master's,Lead Data Scientist,11.4,149300
28,Male,Master's,Platform Engineer,6.6,99100
21,Male,Bachelor's,Junior Cloud Support Engineer,0.6,32000
27,Male,PhD,UI/UX Designer,4.5,80600
20,Male,Bachelor's,Junior Network Technician,0.3,29300
34,Male,PhD,Engineering Manager,12.2,166700
24,Female,Master's,Junior Database Administrator,1.4,41100
25,Male,Master's,Automation Engineer,5.4,92800
21,Female,Bachelor's,Junior Mobile App Developer,1.8,44700
29,Female,Bachelor's,Senior Cybersecurity Analyst,6.7,102400
25,Male,Bachelor's,Database Administrator,2.8,55900
44,Female,Master's,VP of Data & Analytics,21.8,212900
25,Female,PhD,IT Business Analyst,2.2,62000
20,Female,Master's,Junior Database Administrator,0.1,31100
25,Male,Master's,QA Engineer,5.9,95000
37,Female,Master's,Network Manager,16.8,189600
31,Female,Master's,Data Engineer,9.4,138100
23,Male,Master's,Cybersecurity Analyst,3.8,70700
28,Male,Master's,Data Scientist,8.8,122800
27,Female,Bachelor's,Network Engineer,5.5,90500
35,Male,Bachelor's,Database Manager,16.4,175700
25,Female,Bachelor's,Backend Developer,4.1,65800
32,Female,Bachelor's,Cloud Solutions Architect,10.2,131900
21,Female,Bachelor's,Junior Mobile App Developer,0.9,34200
22,Male,Master's,Frontend Developer,3.1,61700
29,Male,Bachelor's,Senior Data Engineer,8.2,116100
28,Female,Bachelor's,Data Scientist,7.6,106300
28,Female,Bachelor's,DevOps Engineer,5.4,89900
31,Male,Bachelor's,Data Engineer,11.5,147500
33,Male,Master's,Principal Cloud Architect,11.4,153300
39,Female,Master's,VP of Information Technology,18.6,195500
30,Male,Bachelor's,Data Scientist,10.2,129800
21,Male,Master's,Junior Database Administrator,1.2,43700
26,Male,Bachelor's,Cybersecurity Analyst,5.6,85000
33,Male,Master's,Senior IT Consultant,10.0,148400
29,Male,Bachelor's,Senior Software Engineer,9.7,123300
20,Male,Bachelor's,Junior Cloud Support Engineer,0.8,31800
37,Male,Master's,Lead Cybersecurity Engineer,16.5,192500
23,Female,Master's,IT Consultant,3.5,67900
24,Female,Bachelor's,IT Consultant,3.1,59700
36,Female,Master's,Infrastructure Manager,14.1,167700
22,Male,Bachelor's,Data Analyst,2.7,55700
24,Female,Bachelor's,Backend Developer,4.8,84800
20,Female,Bachelor's,Junior Mobile App Developer,0.8,36100
19,Male,Bachelor's,Junior Network Technician,0.4,27600
24,Male,Master's,Software Test Engineer,2.4,56600
44,Female,PhD,Director of Software Development,23.3,264100
23,Male,Bachelor's,IT Support Technician,1.1,37200
27,Female,PhD,System Administrator,4.6,94500
32,Female,PhD,IT Program Manager,13.0,169200
22,Male,Master's,Software Engineer,3.2,62400
23,Male,Bachelor's,Junior Web Developer,0.2,29200
33,Male,Master's,Senior Cybersecurity Analyst,11.6,172900
35,Female,Master's,Engineering Manager,15.3,189200
35,Male,PhD,Lead Cybersecurity Engineer,14.3,181700
21,Female,Bachelor's,Junior Business Intelligence Analyst,0.1,28700
21,Female,Master's,Junior System Administrator,1.0,38300
20,Female,Bachelor's,Junior UI/UX Designer,0.9,35600
33,Male,Bachelor's,Infrastructure Manager,11.9,141700
36,Female,Master's,Infrastructure Manager,14.3,165200
24,Male,Bachelor's,Software Test Engineer,3.9,75900
21,Female,Bachelor's,Trainee Software Engineer,0.9,36200
25,Male,Bachelor's,Web Developer,3.4,68300
19,Female,Master's,Junior Data Analyst,0.1,29900
23,Female,Master's,Mobile App Developer,2.8,61900
31,Female,Master's,IT Program Manager,10.9,142300
34,Male,Master's,Site Reliability Engineer,11.9,162500
33,Female,Bachelor's,Senior Full Stack Developer,10.5,133400
21,Female,Bachelor's,Junior Web Developer,0.8,33000
24,Male,PhD,Database Administrator,3.8,84000
26,Male,Master's,Network Engineer,4.0,76100
37,Male,Master's,Solutions Architect,17.0,198800
25,Male,Master's,Data Analyst,3.7,78200
27,Female,Bachelor's,Senior UI/UX Designer,7.7,110700
29,Male,Master's,Senior UI/UX Designer,7.9,121100
29,Male,Bachelor's,Senior Automation Engineer,9.6,123600
23,Female,Bachelor's,Junior Network Technician,1.8,45700
20,Female,Master's,Junior Web Developer,0.9,36800
28,Male,Master's,Senior Backend Developer,7.4,111100
